Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Consortium,"Eastern Sierra-Mother Lode Region (Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne Counties)",2020-2030,4,53-7065,Stockers and Order Fillers,740,890,150,20.3,460,790,1400,15.21,31624.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,"Eastern Sierra-Mother Lode Region (Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne Counties)",2020-2030,4,53-7081,Refuse and Recyclable Material Collectors,70,90,20,28.6,40,70,130,24.24,50425.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,1,00-0000,"Total, All Occupations",65900,77200,11300,17.1,32710,50370,94380,18.35,38163.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,11-0000,Management Occupations,4590,5210,620,13.5,1810,2330,4760,49.34,102630.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,11-1000,Top Executives,820,960,140,17.1,190,520,850,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-1011,Chief Executives,150,150,0,0.0,40,60,100,61.94,128838.00,Bachelor's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-1021,General and Operations Managers,650,790,140,21.5,140,450,730,47.07,97903.00,Bachelor's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",210,240,30,14.3,50,140,220,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-2021,Marketing Managers,30,30,0,0.0,10,20,30,65.05,135316.00,Bachelor's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-2022,Sales Managers,170,210,40,23.5,40,120,200,38.45,79974.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,11-3000,Operations Specialties Managers,480,570,90,18.8,110,270,470,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-3010,Administrative Services and Facilities Managers,100,110,10,10.0,30,50,90,0.00,0.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-3021,Computer and Information Systems Managers,40,50,10,25.0,10,20,40,62.15,129260.00,Bachelor's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-3031,Financial Managers,150,190,40,26.7,30,80,150,50.59,105225.00,Bachelor's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-3051,Industrial Production Managers,50,60,10,20.0,10,30,50,50.32,104648.00,Bachelor's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-3071,"Transportation, Storage, and Distribution Managers",70,90,20,28.6,20,40,80,38.04,79119.00,High school diploma or equivalent,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-3121,Human Resources Managers,40,40,0,0.0,10,20,30,49.27,102465.00,Bachelor's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,11-9000,Other Management Occupations,3090,3440,350,11.3,1460,1400,3210,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",1710,1770,60,3.5,1070,600,1730,35.27,73353.00,High school diploma or equivalent,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9021,Construction Managers,120,140,20,16.7,30,70,120,48.94,101775.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9032,"Education Administrators, Elementary and Secondary School",160,190,30,18.8,40,80,150,0.00,127716.00,Master's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9041,Architectural and Engineering Managers,50,50,0,0.0,10,30,40,63.38,131825.00,Bachelor's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9051,Food Service Managers,120,180,60,50.0,50,120,230,24.26,50460.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9111,Medical and Health Services Managers,180,260,80,44.4,50,110,240,51.18,106461.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9141,"Property, Real Estate, and Community Association Managers",110,110,0,0.0,40,40,80,23.56,49008.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9151,Social and Community Service Managers,70,80,10,14.3,20,40,70,36.05,74990.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,11-9198,"Personal Service Managers; Entertainment & Recreation Managers, Except Gambling; and Managers, All Other",470,550,80,17.0,120,250,450,0.00,0.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,13-0000,Business and Financial Operations Occupations,2620,3020,400,15.3,740,1580,2720,36.55,76020.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,13-1000,Business Operations Specialists,2090,2420,330,15.8,580,1250,2160,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1020,Buyers and Purchasing Agents,90,100,10,11.1,30,60,100,29.95,62293.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1031,"Claims Adjusters, Examiners, and Investigators",30,30,0,0.0,10,10,20,45.27,94165.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1041,Compliance Officers,700,800,100,14.3,180,400,680,46.72,97182.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1051,Cost Estimators,50,50,0,0.0,10,30,40,30.74,63951.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1071,Human Resources Specialists,150,180,30,20.0,40,110,180,29.81,62004.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1081,Logisticians,50,70,20,40.0,10,40,70,30.82,64105.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1111,Management Analysts,250,300,50,20.0,90,160,300,37.82,78666.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1151,Training and Development Specialists,60,70,10,16.7,20,40,70,30.42,63281.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1161,Market Research Analysts and Marketing Specialists,70,90,20,28.6,20,60,100,30.63,63703.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",600,680,80,13.3,150,310,540,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,13-2000,Financial Specialists,530,600,70,13.2,160,320,550,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-2011,Accountants and Auditors,310,350,40,12.9,90,190,320,31.04,64568.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-2072,Loan Officers,70,80,10,14.3,20,40,70,37.82,78666.00,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-2082,Tax Preparers,50,50,0,0.0,30,30,60,15.17,31543.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",40,40,0,0.0,10,20,30,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,15-0000,Computer and Mathematical Occupations,480,560,80,16.7,110,260,450,37.71,78435.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,15-1200,Computer Occupations,470,540,70,14.9,100,250,420,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,15-1211,Computer Systems Analysts,70,80,10,14.3,20,40,70,45.77,95197.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,15-1231,Computer Network Support Specialists,30,30,0,0.0,10,20,30,30.43,63289.00,Associate's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,15-1232,Computer User Support Specialists,100,110,10,10.0,20,60,90,29.07,60460.00,"Some college, no degree",None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,15-1244,Network and Computer Systems Administrators,40,50,10,25.0,10,20,40,48.09,100025.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,80,110,30,37.5,20,50,100,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,15-1299,"Computer Occupations, All Other",80,90,10,12.5,20,40,70,29.53,61424.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,17-0000,Architecture and Engineering Occupations,380,420,40,10.5,100,210,350,39.61,82382.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,17-1000,"Architects, Surveyors, and Cartographers",40,40,0,0.0,10,20,30,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,17-2000,Engineers,160,180,20,12.5,30,80,130,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,17-2051,Civil Engineers,50,60,10,20.0,10,30,50,39.19,81522.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,17-2199,"Engineers, All Other",40,40,0,0.0,10,20,30,51.20,106490.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",170,190,20,11.8,60,120,200,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,17-3023,Electrical and Electronics Engineering Technicians,40,40,0,0.0,10,20,30,46.73,97207.00,Associate's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,17-3098,"Calibration and Engineering Technologists and Technicians, Except Drafters, All Other",60,70,10,16.7,20,40,70,0.00,0.00,Associate's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,19-0000,"Life, Physical, and Social Science Occupations",500,540,40,8.0,110,370,520,38.91,80942.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,19-1000,Life Scientists,130,140,10,7.7,20,90,120,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,19-1029,"Biological Scientists, All Other",50,60,10,20.0,10,40,60,37.04,77047.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,19-2000,Physical Scientists,50,60,10,20.0,10,40,60,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,19-3000,Social Scientists and Related Workers,140,150,10,7.1,30,70,110,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,19-3031,"Clinical, Counseling, and School Psychologists",80,90,10,12.5,20,30,60,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,19-3051,Urban and Regional Planners,30,30,0,0.0,0,20,20,37.04,77047.00,Master's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,19-4000,"Life, Physical, and Social Science Technicians",140,150,10,7.1,30,140,180,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,19-4010,Agricultural and Food Science Technicians,60,70,10,16.7,10,70,90,0.00,0.00,Associate's degree,None,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,19-5000,Occupational Health and Safety Specialists and Technicians,40,40,0,0.0,10,20,30,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,19-5011,Occupational Health and Safety Specialists,30,30,0,0.0,10,10,20,45.66,94969.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,21-0000,Community and Social Service Occupations,1650,1960,310,18.8,580,1150,2040,23.92,49759.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",1580,1880,300,19.0,550,1100,1950,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1012,"Educational, Guidance, School, and Vocational Counselors",180,210,30,16.7,60,110,200,36.75,76435.00,Master's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1013,Marriage and Family Therapists,60,70,10,16.7,20,40,70,29.47,61310.00,Master's degree,None,Internship/residency
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1015,Rehabilitation Counselors,220,260,40,18.2,80,140,260,18.94,39388.00,Master's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",160,210,50,31.3,60,110,220,29.47,61310.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1021,"Child, Family, and School Social Workers",130,160,30,23.1,40,90,160,23.63,49158.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1022,Healthcare Social Workers,30,40,10,33.3,10,20,40,32.06,66697.00,Master's degree,None,Internship/residency
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1023,Mental Health and Substance Abuse Social Workers,160,180,20,12.5,50,110,180,15.26,31743.00,Master's degree,None,Internship/residency
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1029,"Social Workers, All Other",130,150,20,15.4,40,90,150,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1092,Probation Officers and Correctional Treatment Specialists,130,150,20,15.4,30,80,130,47.20,98171.00,Bachelor's degree,None,Short-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1093,Social and Human Service Assistants,280,330,50,17.9,120,230,400,19.78,41139.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1094,Community Health Workers,30,30,0,0.0,10,20,30,24.79,51561.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-1099,"Community and Social Service Specialists, All Other",60,70,10,16.7,20,40,70,15.26,31743.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,21-2000,Religious Workers,70,80,10,14.3,30,50,90,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,21-2011,Clergy,60,60,0,0.0,30,40,70,21.92,45594.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,23-0000,Legal Occupations,250,280,30,12.0,70,100,200,45.54,94731.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,23-1000,"Lawyers, Judges, and Related Workers",170,190,20,11.8,40,50,110,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,23-1011,Lawyers,130,150,20,15.4,30,40,90,59.00,122713.00,Doctoral or professional degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,23-1012,Judicial Law Clerks,30,30,0,0.0,10,10,20,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,23-2000,Legal Support Workers,80,90,10,12.5,30,50,90,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,23-2011,Paralegals and Legal Assistants,50,50,0,0.0,20,30,50,29.13,60585.00,Associate's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,25-0000,"Education, Training, and Library Occupations",4510,5200,690,15.3,1930,2180,4800,32.50,67588.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,25-1000,Postsecondary Teachers,270,320,50,18.5,130,130,310,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-1194,"Vocational Education Teachers, Postsecondary",60,70,10,16.7,30,30,70,38.41,79906.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",2460,2810,350,14.2,800,1100,2250,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2011,"Preschool Teachers, Except Special Education",150,190,40,26.7,70,100,210,18.87,39243.00,Associate's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2012,"Kindergarten Teachers, Except Special Education",50,50,0,0.0,20,30,50,0.00,77534.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2021,"Elementary School Teachers, Except Special Education",1050,1190,140,13.3,340,450,930,0.00,97715.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",210,240,30,14.3,70,90,190,0.00,93353.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",700,790,90,12.9,200,300,590,0.00,99321.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2032,"Career/Technical Education Teachers, Secondary School",40,40,0,0.0,10,20,30,0.00,101797.00,Bachelor's degree,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2052,"Special Education Teachers, Kindergarten and Elementary School",110,120,10,9.1,40,50,100,0.00,81129.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2058,"Special Education Teachers, Secondary School",80,90,10,12.5,30,30,70,0.00,98015.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-2059,"Special Education Teachers, All Other",60,70,10,16.7,20,30,60,0.00,61331.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,25-3000,Other Teachers and Instructors,610,740,130,21.3,400,360,890,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,50,50,0,0.0,30,30,60,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-3021,Self-Enrichment Education Teachers,30,70,40,133.3,30,30,100,21.48,44672.00,High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",220,260,40,18.2,140,130,310,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,25-4000,"Librarians, Curators, and Archivists",60,70,10,16.7,50,40,100,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-4031,Library Technicians,40,40,0,0.0,30,20,50,22.50,46806.00,Postsecondary non-degree award,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,25-9000,"Other Education, Training, and Library Occupations",1110,1260,150,13.5,540,550,1240,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-9031,Instructional Coordinators,70,80,10,14.3,40,30,80,25.17,52359.00,Master's degree,5 years or more,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-9045,"Teaching Assistants, Except Postsecondary",860,980,120,14.0,410,430,960,0.00,37151.00,"Some college, no degree",None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,25-9099,"Education, Training, and Library Workers, All Other",180,200,20,11.1,90,80,190,24.00,49924.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",400,450,50,12.5,150,260,460,19.86,41315.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,27-1000,Art and Design Workers,150,180,30,20.0,50,100,180,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,27-1024,Graphic Designers,40,50,10,25.0,10,30,50,19.50,40549.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,27-1026,Merchandise Displayers and Window Trimmers,60,70,10,16.7,20,40,70,15.00,31200.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,27-2000,"Entertainers and Performers, Sports and Related Workers",70,70,0,0.0,30,50,80,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,27-3000,Media and Communication Workers,110,120,10,9.1,40,70,120,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,27-3031,Public Relations Specialists,30,30,0,0.0,10,20,30,24.34,50619.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,27-3091,Interpreters and Translators,40,40,0,0.0,20,20,40,24.95,51893.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,27-4000,Media and Communication Equipment Workers,70,80,10,14.3,20,50,80,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",30,30,0,0.0,10,20,30,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,2,29-0000,Healthcare Practitioners and Technical Occupations,2400,2960,560,23.3,690,830,2080,39.26,81667.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,29-1000,Health Diagnosing and Treating Practitioners,1470,1810,340,23.1,390,380,1110,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1021,"Dentists, General",50,60,10,20.0,10,10,30,87.92,182884.00,Doctoral or professional degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1051,Pharmacists,70,80,10,14.3,10,10,30,76.18,158455.00,Doctoral or professional degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1071,Physician Assistants,40,50,10,25.0,10,20,40,76.29,158683.00,Master's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1123,Physical Therapists,40,60,20,50.0,10,10,40,47.63,99093.00,Doctoral or professional degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1126,Respiratory Therapists,30,50,20,66.7,10,10,40,31.19,64874.00,Associate's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1127,Speech-Language Pathologists,30,50,20,66.7,10,10,40,47.71,99238.00,Master's degree,None,Internship/residency
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1141,Registered Nurses,780,960,180,23.1,230,220,630,45.16,93944.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1171,Nurse Practitioners,70,130,60,85.7,20,30,110,80.91,168286.00,Master's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1215,Family Medicine Physicians,40,50,10,25.0,10,10,30,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",40,50,10,25.0,10,10,30,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1248,"Surgeons, Except Ophthalmologists",30,20,-10,-33.3,0,0,-10,0.00,0.00,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-1292,Dental Hygienists,40,40,0,0.0,10,10,20,48.71,101320.00,Associate's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,29-2000,Health Technologists and Technicians,900,1120,220,24.4,290,430,940,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-2010,Clinical Laboratory Technologists and Technicians,40,50,10,25.0,10,20,40,23.48,48826.00,Bachelor's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-2034,Radiologic Technologists,60,80,20,33.3,20,30,70,39.04,81201.00,Associate's degree,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-2040,Emergency Medical Technicians and Paramedics,90,120,30,33.3,20,50,100,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-2052,Pharmacy Technicians,120,150,30,25.0,40,60,130,21.98,45729.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-2055,Surgical Technologists,50,60,10,20.0,10,20,40,23.76,49406.00,Postsecondary non-degree award,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-2061,Licensed Practical and Licensed Vocational Nurses,260,310,50,19.2,100,120,270,29.87,62128.00,Postsecondary non-degree award,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-2081,"Opticians, Dispensing",30,40,10,33.3,10,10,30,22.52,46848.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",140,180,40,28.6,40,70,150,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,3,29-9000,Other Healthcare Practitioners and Technical Occupations,30,30,0,0.0,10,10,20,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,El Centro MSA (Imperial County),2020-2030,4,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, & Healthcare Practitioners, AO",30,30,0,0.0,10,10,20,0.00,0.00,Postsecondary non-degree award,None,None
